source_file,product_name,webshop_name,webshop_url,rating,review_date,author,title_original,body_original,title_english,body_english,language_code,was_translated,statement_original,statement_english,attributes,sentiment_label,sentiment_positive,sentiment_neutral,sentiment_negative,sentiment_score,raw_compound_score,manual_sentence_rating
samsung_galaxy_a16.json,Samsung Galaxy A16,mediamarkt,https://www.mediamarkt.nl/en/product/_galaxy-a16-4g-lte-128gb-black-1874426.html,10,07/03/2025,,,Gekocht voor mijn vrouw omdat haar S 10 Samsung versleten was. Overzetten van oud naar nieuw helemaal geen probleem. Ook het verbinden met mijn S 55 was geen probleem. Echt een aanrader voor redelijke prijs.,,Bought for my wife because her S 10 Samsung was worn out. Transferring from old to new no problem at all. Also connecting to my S 55 was no problem. Really recommended for reasonable price.,nl,1,Gekocht voor mijn vrouw omdat haar S 10 Samsung versleten was.,Bought for my wife because her S 10 Samsung was worn out.,general,negative,0,0,1,0.296,-0.296,neutral
samsung_galaxy_a16.json,Samsung Galaxy A16,mediamarkt,https://www.mediamarkt.nl/en/product/_galaxy-a16-4g-lte-128gb-black-1874426.html,10,07/03/2025,,,Gekocht voor mijn vrouw omdat haar S 10 Samsung versleten was. Overzetten van oud naar nieuw helemaal geen probleem. Ook het verbinden met mijn S 55 was geen probleem. Echt een aanrader voor redelijke prijs.,,Bought for my wife because her S 10 Samsung was worn out. Transferring from old to new no problem at all. Also connecting to my S 55 was no problem. Really recommended for reasonable price.,nl,1,Overzetten van oud naar nieuw helemaal geen probleem.,Transferring from old to new no problem at all.,general,negative,0,0,1,0.5994,-0.5994,positive
samsung_galaxy_a16.json,Samsung Galaxy A16,mediamarkt,https://www.mediamarkt.nl/en/product/_galaxy-a16-4g-lte-128gb-black-1874426.html,10,07/03/2025,,,Gekocht voor mijn vrouw omdat haar S 10 Samsung versleten was. Overzetten van oud naar nieuw helemaal geen probleem. Ook het verbinden met mijn S 55 was geen probleem. Echt een aanrader voor redelijke prijs.,,Bought for my wife because her S 10 Samsung was worn out. Transferring from old to new no problem at all. Also connecting to my S 55 was no problem. Really recommended for reasonable price.,nl,1,Ook het verbinden met mijn S 55 was geen probleem.,Also connecting to my S 55 was no problem.,general,negative,0,0,1,0.5994,-0.5994,positive
samsung_galaxy_a16.json,Samsung Galaxy A16,mediamarkt,https://www.mediamarkt.nl/en/product/_galaxy-a16-4g-lte-128gb-black-1874426.html,10,07/03/2025,,,Gekocht voor mijn vrouw omdat haar S 10 Samsung versleten was. Overzetten van oud naar nieuw helemaal geen probleem. Ook het verbinden met mijn S 55 was geen probleem. Echt een aanrader voor redelijke prijs.,,Bought for my wife because her S 10 Samsung was worn out. Transferring from old to new no problem at all. Also connecting to my S 55 was no problem. Really recommended for reasonable price.,nl,1,Echt een aanrader voor redelijke prijs.,Really recommended for reasonable price.,value,positive,1,0,0,0.2716,0.2716,positive
apple_iphone_17_pro.json,Apple iPhone 17 Pro,mediamarkt,https://www.mediamarkt.nl/en/product/_apple-iphone-17-pro-5g-256-gb-256-gb-blue-1890787.html,10,04/01/2026,,,"Kamera ist absolut Top vie besser als beim 16 pro und 16 Pro Max, der Prozessor ist schnell und leistungsstark .alles in allem gefÃ¤llt es mir sehr gut.Kaufempfehlung",,"Camera is absolutely top vie better than at the 16 per and 16 Pro Max, the processor is fast and powerful.All in all, I feel very well.",de,1,"Kamera ist absolut Top vie besser als beim 16 pro und 16 Pro Max, der Prozessor ist schnell und leistungsstark .alles in allem gefÃ¤llt es mir sehr gut.Kaufempfehlung","Camera is absolutely top vie better than at the 16 per and 16 Pro Max, the processor is fast and powerful.All in all, I feel very well.",performance|battery|camera,positive,1,0,0,0.7684,0.7684,positive
samsung_galaxy_a54.json,Samsung Galaxy A54,mediamarkt,https://www.mediamarkt.nl/en/product/_galaxy-a54-5g-128-gb-black-104205017.html,8,30/10/2023,,,Het belsignaal van mijn telefoon gaat niet naar mijn gehoorapparaat. Dat deed het wel op de A50. Ik hoop dat u dat gaat herstellen bij de eerstvolgende update. De algemene beoordeling is goed als het aangepast is. Dan zou ik het ook aanbevelen.,,"The call from my phone doesn't go to my hearing aid. It did on the A50. I hope you'll fix that at the next update. The overall assessment is good when adjusted. I'd recommend it, too.",nl,1,Het belsignaal van mijn telefoon gaat niet naar mijn gehoorapparaat.,The call from my phone doesn't go to my hearing aid.,software,neutral,0,1,0,1,0,negative
samsung_galaxy_a54.json,Samsung Galaxy A54,mediamarkt,https://www.mediamarkt.nl/en/product/_galaxy-a54-5g-128-gb-black-104205017.html,8,30/10/2023,,,Het belsignaal van mijn telefoon gaat niet naar mijn gehoorapparaat. Dat deed het wel op de A50. Ik hoop dat u dat gaat herstellen bij de eerstvolgende update. De algemene beoordeling is goed als het aangepast is. Dan zou ik het ook aanbevelen.,,"The call from my phone doesn't go to my hearing aid. It did on the A50. I hope you'll fix that at the next update. The overall assessment is good when adjusted. I'd recommend it, too.",nl,1,Dat deed het wel op de A50.,It did on the A50.,general,neutral,0,1,0,1,0,neutral
samsung_galaxy_a54.json,Samsung Galaxy A54,mediamarkt,https://www.mediamarkt.nl/en/product/_galaxy-a54-5g-128-gb-black-104205017.html,8,30/10/2023,,,Het belsignaal van mijn telefoon gaat niet naar mijn gehoorapparaat. Dat deed het wel op de A50. Ik hoop dat u dat gaat herstellen bij de eerstvolgende update. De algemene beoordeling is goed als het aangepast is. Dan zou ik het ook aanbevelen.,,"The call from my phone doesn't go to my hearing aid. It did on the A50. I hope you'll fix that at the next update. The overall assessment is good when adjusted. I'd recommend it, too.",nl,1,Ik hoop dat u dat gaat herstellen bij de eerstvolgende update.,I hope you'll fix that at the next update.,software,positive,1,0,0,0.4404,0.4404,negative
samsung_galaxy_a54.json,Samsung Galaxy A54,mediamarkt,https://www.mediamarkt.nl/en/product/_galaxy-a54-5g-128-gb-black-104205017.html,8,30/10/2023,,,Het belsignaal van mijn telefoon gaat niet naar mijn gehoorapparaat. Dat deed het wel op de A50. Ik hoop dat u dat gaat herstellen bij de eerstvolgende update. De algemene beoordeling is goed als het aangepast is. Dan zou ik het ook aanbevelen.,,"The call from my phone doesn't go to my hearing aid. It did on the A50. I hope you'll fix that at the next update. The overall assessment is good when adjusted. I'd recommend it, too.",nl,1,De algemene beoordeling is goed als het aangepast is.,The overall assessment is good when adjusted.,general,positive,1,0,0,0.4404,0.4404,positive
samsung_galaxy_a54.json,Samsung Galaxy A54,mediamarkt,https://www.mediamarkt.nl/en/product/_galaxy-a54-5g-128-gb-black-104205017.html,8,30/10/2023,,,Het belsignaal van mijn telefoon gaat niet naar mijn gehoorapparaat. Dat deed het wel op de A50. Ik hoop dat u dat gaat herstellen bij de eerstvolgende update. De algemene beoordeling is goed als het aangepast is. Dan zou ik het ook aanbevelen.,,"The call from my phone doesn't go to my hearing aid. It did on the A50. I hope you'll fix that at the next update. The overall assessment is good when adjusted. I'd recommend it, too.",nl,1,Dan zou ik het ook aanbevelen.,"I'd recommend it, too.",general,positive,1,0,0,0.3612,0.3612,positive
samsung_galaxy_a54.json,Samsung Galaxy A54,mediamarkt,https://www.mediamarkt.nl/en/product/_galaxy-a54-5g-128-gb-black-104205017.html,10,12/02/2024,,,"Een perfecte telefoon, voor een scherpe prijs. Batterij gaat lekker lang mee. Ook het formaat bevalt me prima. De camera is echt top, maakt in alle omstandigheden hele mooie foto's. Kortom een aanrader, eens een Samsung altijd een Samsung",,"A perfect phone for a competitive price. Battery lasts a long time. I also like the format. The camera is really top, takes very nice pictures in all circumstances. In short, recommended, once a Samsung always a Samsung",nl,1,"Een perfecte telefoon, voor een scherpe prijs.",A perfect phone for a competitive price.,value,positive,1,0,0,0.6597,0.6597,positive
samsung_galaxy_a54.json,Samsung Galaxy A54,mediamarkt,https://www.mediamarkt.nl/en/product/_galaxy-a54-5g-128-gb-black-104205017.html,10,12/02/2024,,,"Een perfecte telefoon, voor een scherpe prijs. Batterij gaat lekker lang mee. Ook het formaat bevalt me prima. De camera is echt top, maakt in alle omstandigheden hele mooie foto's. Kortom een aanrader, eens een Samsung altijd een Samsung",,"A perfect phone for a competitive price. Battery lasts a long time. I also like the format. The camera is really top, takes very nice pictures in all circumstances. In short, recommended, once a Samsung always a Samsung",nl,1,Batterij gaat lekker lang mee.,Battery lasts a long time.,battery,neutral,0,1,0,1,0,positive
